unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,city,status,bbl,latitude,longitude,Category,Sentiment,Complaint Text,Emotion
56415040,2022-12-31 23:59:25,NYPD,Illegal Fireworks,,Street/Sidewalk,11218.0,BROOKLYN,Closed,3053750049.0,40.63892746412587,-73.97325020454049,Social,Negative,Illegal Fireworks. ,Fear
56418476,2022-12-31 23:59:13,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033.0,NEW YORK,Closed,1021650063.0,40.85118699615938,-73.93266992103403,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56415364,2022-12-31 23:59:12,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11226.0,BROOKLYN,Closed,3051230038.0,40.64512411588355,-73.96007697831942,Social,Neutral,Noise - Residential. Banging/Pounding,Neutral
56414786,2022-12-31 23:59:04,DOHMH,Rodent,Signs of Rodents,3+ Family Apt. Building,10035.0,NEW YORK,Closed,1017970001.0,40.80143454654757,-73.93443230896085,Social,Neutral,Rodent. Signs of Rodents,Neutral
56414075,2022-12-31 23:58:52,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385.0,RIDGEWOOD,Closed,4035470045.0,40.699214628010594,-73.90659036915068,Political,Negative,Illegal Parking. Blocked Hydrant,Neutral
56417046,2022-12-31 23:58:44,NYPD,Abandoned Vehicle,With License Plate,Street/Sidewalk,11385.0,RIDGEWOOD,Closed,4035300003.0,40.70645238810548,-73.89983550501044,Political,Negative,Abandoned Vehicle. With License Plate,Sadness
56415946,2022-12-31 23:58:43,NYPD,Illegal Fireworks,,Street/Sidewalk,11230.0,BROOKLYN,Closed,,40.61176157706108,-73.9537651674223,Social,Negative,Illegal Fireworks. ,Fear
56414205,2022-12-31 23:58:22,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11218.0,BROOKLYN,Closed,3053690077.0,40.639362483266765,-73.97983303068035,Social,Neutral,Noise - Street/Sidewalk. Loud Music/Party,Neutral
56417822,2022-12-31 23:58:16,NYPD,Illegal Fireworks,,Street/Sidewalk,10472.0,BRONX,Closed,2037410005.0,40.82629391181716,-73.87767540273677,Social,Negative,Illegal Fireworks. ,Fear
56409395,2022-12-31 23:58:13,HPD,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11226.0,BROOKLYN,Closed,3049490068.0,40.642231191339015,-73.94672476753257,Political,Neutral,GENERAL. COOKING GAS,Disgust
